DATE,TIME,L1QuatHut,L1PumpTH_A,L1PumpTH_B,L1PumpChemical_A,L1PumpChemical_B,L1AGIGATOR,L1pH,L2QuatHut,L2PumpTH_A,L2PumpTH_B,L2PumpChemical_A,L2PumpChemical_B,L2AGIGATOR,L2pH,L3QuatHut,L3PumpTH_A,L3PumpTH_B,L3PumpChemical_A,L3PumpChemical_B,L3AGIGATOR,L3pH,L4QuatHut,L4PumpTH_A,L4PumpTH_B,L4PumpChemical_A,L4PumpChemical_B,L4AGIGATOR,L4pH
'2023/04/08,'00:00:00,true,false,true,false,false,false,7.54,true,false,true,false,false,false,8.65,true,true,false,false,false,false,7.01,true,false,false,true,false,false,7.61
'2023/04/08,'01:00:00,true,false,true,false,false,false,7.69,true,false,true,false,false,false,8.87,true,true,false,false,false,false,7.01,true,false,false,true,false,false,7.61
'2023/04/08,'02:00:00,true,false,true,false,false,false,7.68,true,false,true,false,false,false,8.72,true,true,false,false,false,false,7.04,true,false,false,true,false,false,7.6
'2023/04/08,'03:00:00,true,false,true,false,false,false,7.58,true,false,true,false,false,false,8.72,true,true,false,false,false,false,6.98,true,false,false,true,false,false,7.61
'2023/04/08,'04:00:00,true,false,true,false,false,false,7.75,true,false,true,false,false,false,8.93,true,true,false,false,false,false,7.04,true,false,false,true,false,false,7.6
'2023/04/08,'05:00:00,true,false,true,false,false,false,7.95,true,false,true,false,false,false,8.59,true,true,false,false,false,false,7.04,true,false,false,true,false,false,7.61
'2023/04/08,'06:00:00,true,false,true,false,false,false,7.58,true,false,true,false,false,false,8.69,true,true,false,false,false,false,7.08,true,false,false,true,false,false,7.61
'2023/04/08,'07:00:00,true,false,true,false,false,false,7.52,true,false,true,false,false,false,8.69,true,true,false,false,false,false,6.97,true,false,false,true,false,false,7.58
'2023/04/08,'08:00:00,true,false,true,false,false,false,7.85,true,false,true,false,false,false,8.65,true,true,false,false,false,false,7,true,false,false,true,false,false,7.58
'2023/04/08,'09:00:00,true,false,true,false,false,false,7.77,true,false,true,false,false,false,8.63,true,true,false,false,false,false,7,true,false,false,true,false,false,7.58
'2023/04/08,'10:00:00,true,false,true,false,false,false,7.92,true,false,true,false,false,false,8.87,true,true,false,false,false,false,6.97,true,false,false,true,false,false,7.59
'2023/04/08,'11:00:00,true,false,true,false,false,false,7.53,true,false,true,false,false,false,8.63,true,true,false,false,false,false,7.07,true,false,false,true,false,false,7.6
'2023/04/08,'12:00:00,true,false,true,false,false,false,7.59,true,false,true,false,false,false,8.94,true,true,false,false,false,false,7.01,true,false,false,true,false,false,7.61
'2023/04/08,'13:00:00,true,false,true,false,false,false,7.86,true,false,true,false,false,false,8.65,true,true,false,false,false,false,6.98,true,false,false,true,false,false,7.6
'2023/04/08,'14:00:00,true,false,true,false,false,false,7.58,true,false,true,false,false,false,8.77,true,true,false,false,false,false,6.98,true,false,false,true,false,false,7.6
'2023/04/08,'15:00:00,true,false,true,false,false,false,7.7,true,false,true,false,false,false,8.8,true,true,false,false,false,false,7,true,false,false,true,false,false,7.61
'2023/04/08,'16:00:00,true,false,true,false,false,false,7.84,true,false,true,false,false,false,8.68,true,true,false,false,false,false,7.02,true,false,false,true,false,false,7.61
'2023/04/08,'17:00:00,true,false,true,false,false,false,7.54,true,false,true,false,false,false,8.69,true,true,false,false,false,false,7.05,true,false,false,true,false,false,7.62
'2023/04/08,'17:04:37,false,false,false,false,false,false,0,false,false,false,false,false,false,0,false,false,false,false,false,false,0,false,false,false,false,false,false,0
'2023/04/08,'18:00:00,true,false,true,false,false,false,7.67,true,false,true,false,false,false,8.61,true,true,false,false,false,false,7.02,true,false,false,true,false,false,7.63
'2023/04/08,'19:00:00,true,false,true,false,false,false,7.88,true,false,true,false,false,false,8.68,true,true,false,false,false,false,7,true,false,false,true,false,false,7.59
'2023/04/08,'20:00:00,true,false,true,false,false,false,7.8,true,false,true,false,false,false,8.75,true,true,false,false,false,false,6.98,true,false,false,true,false,false,7.58
'2023/04/08,'21:00:00,true,false,true,false,false,false,7.51,true,false,true,false,false,false,8.63,true,true,false,false,false,false,7.02,true,false,false,true,false,false,7.59
'2023/04/08,'22:00:00,true,false,true,false,false,false,7.88,true,false,true,false,false,false,8.58,true,true,false,false,false,false,6.97,true,false,false,true,false,false,7.6
'2023/04/08,'23:00:00,true,false,true,false,false,false,7.52,true,false,true,false,false,false,8.9,true,true,false,false,false,false,6.95,true,false,false,true,false,false,7.61
